Ration_A,LOGP_A,ATS4d,ATS2are,AATS2m,AATS4m,AATS2v,ATSC6dv,ATSC0d,ATSC5d,ATSC1v,ATSC1i,ATSC5i,AATSC1dv,MATS6p,GATS6c,BCUTdv-1l,Xp-4d,ZMIC4,Kier2,MDEC-13,MDEC-23,Ration_B,LOGP_B,ATS4d.1,AATS2m.1,AATS4m.1,AATS2v.1,AATS3v.1,ATSC1dv.1,ATSC6dv.1,ATSC0d.1,ATSC5d.1,ATSC1v.1,ATSC1i.1,AATSC1dv.1,AATSC6dv.1,AATSC6Z.1,MATS6p.1,GATS6c.1,ZMIC4.1,MDEC-13.1,TSRW10.1
20,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,80,1.98570001,85,43.67059708,26.66259575,146.2373505,119.2071304,32.9940834,-15.24852085,9.53846169,-2.87573957,-150.6400299,-6.4452014,1.3197633,-0.42357001,-0.47698882,-0.08915582,0.43260813,18.71290779,2.70160007,37.3264122
28,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,72,1.98570001,85,43.67059708,26.66259575,146.2373505,119.2071304,32.9940834,-15.24852085,9.53846169,-2.87573957,-150.6400299,-6.4452014,1.3197633,-0.42357001,-0.47698882,-0.08915582,0.43260813,18.71290779,2.70160007,37.3264122
37,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,63,1.98570001,85,43.67059708,26.66259575,146.2373505,119.2071304,32.9940834,-15.24852085,9.53846169,-2.87573957,-150.6400299,-6.4452014,1.3197633,-0.42357001,-0.47698882,-0.08915582,0.43260813,18.71290779,2.70160007,37.3264122
45,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,55,1.98570001,85,43.67059708,26.66259575,146.2373505,119.2071304,32.9940834,-15.24852085,9.53846169,-2.87573957,-150.6400299,-6.4452014,1.3197633,-0.42357001,-0.47698882,-0.08915582,0.43260813,18.71290779,2.70160007,37.3264122
53,-1.27390003,70,352.2529907,86.75143433,27.21737289,159.7915497,62.74666595,19.20000076,-4.55999994,-107.0140228,-12.06970119,0.01856456,2.88063502,-0.18925574,0.44743729,0,0.85943276,29.35023689,9.07407379,0.01025986,0.00633766,47,1.98570001,85,43.67059708,26.66259575,146.2373505,119.2071304,32.9940834,-15.24852085,9.53846169,-2.87573957,-150.6400299,-6.4452014,1.3197633,-0.42357001,-0.47698882,-0.08915582,0.43260813,18.71290779,2.70160007,37.3264122
0,-3.56850004,70,241.3229981,46.07841873,27.21737289,141.3831024,-10.35519505,10.5,-3.75,-163.9898071,-1.80098808,-10.32928467,1.50859678,-0.12621908,0.33191174,0,0.85943276,21.32255745,7.11111116,2.82842708,1.37317812,10,0.8154,42,49.42292023,19.60020256,145.5121918,138.2325287,28.91349411,30.14532852,7.52941179,1.29757786,-146.4197846,-6.62841368,1.80709338,1.67474043,5.26297569,0.48000735,0.03613176,17.28075409,3.53277564,32.68875504
12,-3.56850004,70,241.3229981,46.07841873,27.21737289,141.3831024,-10.35519505,10.5,-3.75,-163.9898071,-1.80098808,-10.32928467,1.50859678,-0.12621908,0.33191174,0,0.85943276,21.32255745,7.11111116,2.82842708,1.37317812,88,0.8154,42,49.42292023,19.60020256,145.5121918,138.2325287,28.91349411,30.14532852,7.52941179,1.29757786,-146.4197846,-6.62841368,1.80709338,1.67474043,5.26297569,0.48000735,0.03613176,17.28075409,3.53277564,32.68875504
28,-3.56850004,70,241.3229981,46.07841873,27.21737289,141.3831024,-10.35519505,10.5,-3.75,-163.9898071,-1.80098808,-10.32928467,1.50859678,-0.12621908,0.33191174,0,0.85943276,21.32255745,7.11111116,2.82842708,1.37317812,72,0.8154,42,49.42292023,19.60020256,145.5121918,138.2325287,28.91349411,30.14532852,7.52941179,1.29757786,-146.4197846,-6.62841368,1.80709338,1.67474043,5.26297569,0.48000735,0.03613176,17.28075409,3.53277564,32.68875504
47,-3.56850004,70,241.3229981,46.07841873,27.21737289,141.3831024,-10.35519505,10.5,-3.75,-163.9898071,-1.80098808,-10.32928467,1.50859678,-0.12621908,0.33191174,0,0.85943276,21.32255745,7.11111116,2.82842708,1.37317812,63,0.8154,42,49.42292023,19.60020256,145.5121918,138.2325287,28.91349411,30.14532852,7.52941179,1.29757786,-146.4197846,-6.62841368,1.80709338,1.67474043,5.26297569,0.48000735,0.03613176,17.28075409,3.53277564,32.68875504
62,-3.56850004,70,241.3229981,46.07841873,27.21737289,141.3831024,-10.35519505,10.5,-3.75,-163.9898071,-1.80098808,-10.32928467,1.50859678,-0.12621908,0.33191174,0,0.85943276,21.32255745,7.11111116,2.82842708,1.37317812,38,0.8154,42,49.42292023,19.60020256,145.5121918,138.2325287,28.91349411,30.14532852,7.52941179,1.29757786,-146.4197846,-6.62841368,1.80709338,1.67474043,5.26297569,0.48000735,0.03613176,17.28075409,3.53277564,32.68875504
